state_abbv,state_fips,year,website_pollingplace,website_reg_status,website_precinct_ballot,website_absentee_status,website_provisional_status,reg_rej,prov_partic,prov_rej_all,abs_rej_all_ballots,abs_nonret,uocava_rej,uocava_nonret,eavs_completeness,post_election_audit,nonvoter_illness_pct,nonvoter_reg_pct,online_reg,wait,residual,pct_reg_of_vep_vrs,vep_turnout
CO,Colorado,2014,1,1,0,1,1,0.024444325,4.7257569e-4,1.9124622e-4,0.0071792002,0.349731,0.017859757,0.6655581,1,1,0.072137155,0.043039098,1,1.4026475,NA,0.8667469,0.54463571
CO,Colorado,2016,1,1,0,1,1,0.032989845,0.0020490957,5.1418087e-4,0.0080608167,0.22166236,0.01612764,0.40220064,1,1,0.070554003,0.061499361,1,2.3994479,0.02761911,0.90048063,0.72087783
CT,Connecticut,2008,0,0,NA,NA,NA,0.0042328816,4.3469141e-4,2.7175812e-4,0.0018682611,NA,NA,NA,0.7778371,1,0.21747319,0.047210388,0,10.074364,NA,0.85563833,0.66642547
CT,Connecticut,2010,1,1,0,1,0,NA,7.981821e-4,5.0092209e-4,0.0010763758,0.065101564,0.01594203,0.36032757,0.94395918,1,0.14739034,0.028934998,0,NA,NA,0.81373984,0.45959899
CT,Connecticut,2012,1,1,0,1,0,NA,6.1705452e-4,5.4016302e-4,0.0015096371,0.086557195,0.0096427789,0.11451863,0.77777779,1,0.18870133,0.041932113,0,8.5024147,NA,0.84491897,0.60998958
CT,Connecticut,2014,1,1,0,1,0,NA,1.7326976e-5,8.2075148e-6,0.0010979831,0.083932973,0.018382354,0.26684636,0.94444442,1,0.12389116,0.024503469,1,2.990191,NA,0.81141531,0.42533553
CT,Connecticut,2016,1,1,1,1,0,NA,3.9380531e-5,2.1480289e-5,0.0015107804,0.06347236,0.017947281,0.18253969,0.88235295,1,0.20214406,0.032871366,1,6.0732584,0.018503699,0.86545414,0.65427256
DC,District of Columbia,2008,1,1,NA,NA,NA,NA,0.064851835,0.018376082,0.010393572,0.036683787,NA,0.5354439,0.77777779,0,0.26005191,0.10069024,0,NA,0.0038145771,0.90909058,0.6169486
DC,District of Columbia,2010,1,1,0,1,1,0.028801413,0.039588947,0.0029297881,0.0023482472,0.32695112,0.10903427,0.71184921,1,1,0.13236502,0.061274771,0,NA,NA,0.84706759,0.29573914
DC,District of Columbia,2012,1,1,0,1,1,0.0053328583,0.13130152,0.011027887,0.0013457761,0.28201592,0.015,0.18588874,1,1,0.24762523,0.092626214,0,33.85453,0.0016652,0.92459375,0.61965692000000006
DC,District of Columbia,2014,1,1,0,1,1,0.0034302142,0.11340816,0.0067370627,0,0.25401288,0.14986376,0.58072287,1,1,0.10667844,0.055677619,1,6.9017677,NA,0.8625319,0.35791108
DC,District of Columbia,2016,1,1,1,1,1,0.0050269738,0.01105371,0.004672253,1.0582316e-4,0.2217489,0.040540539,0.18975469,1,1,0.20776799,0.03172313,1,16.281755,0.0041813999,0.93633616,0.61113918
DE,Delaware,2008,1,0,NA,NA,NA,0.24614403,9.4780803e-4,7.9866056e-4,8.0106617e-4,0.035596754,0.07375145,0.22553192,1,1,0.21303475,0.047521967,0,12.161645,0.0027807197,0.8579402,0.65832853
DE,Delaware,2010,1,0,1,1,1,0.16003108,1.041818e-4,9.7867749e-5,4.3566932e-4,0.045477178,0.043117743,0.63942605,1,1,0.1426831,0.012888312,0,NA,NA,0.81675464,0.47842926
DE,Delaware,2012,1,0,1,1,1,0.041488245,0.0010846896,0.0010008835000000001,5.7466998e-4,0.076339856,0.097714283,0.28508288,1,1,0.18058525,0.051018059,0,4.9209337,0.0088689001,0.86270422,0.62660235
DE,Delaware,2014,1,1,1,1,1,0.052332196,2.6038385e-4,2.2678594e-4,2.6038385e-4,0.2352455,0.014925373,0.58333331,1,1,0.13460839,0.0097445119,1,2.6545055,NA,0.82484239,0.34355411
DE,Delaware,2016,1,1,1,1,1,0.075797476,6.6039443e-4,6.0907996e-4,4.8190943e-4,0.11925396,0.039952297,0.19599999,1,1,0.17922233,0.040369224,1,4.8895535,0.0031759001,0.86986911,0.64607763
FL,Florida,2008,0,0,NA,NA,NA,0.0043993290000000004,0.0041850614,0.0021516629,0.0021675178,0.1405957,0.023756657,0.21624449,1,1,0.16753253,0.09558636,0,28.842903,0.0073532597,0.87688965,0.66630977
FL,Florida,2010,1,1,1,1,0,NA,0.0024080221,6.1949797e-4,0.003284198,0.28984806,0.041071605,0.59559172,0.8888889,1,0.14275527,0.049509555,0,NA,NA,0.81821364,0.42283514
FL,Florida,2012,1,1,1,1,0,0.06299036,0.0049949214,0.0021157574,0.0024057887,0.18155128,0.030868916,0.2495005,1,1,0.14670882,0.078275204,0,44.976986,0.0074809999,0.85260403,0.63962775
FL,Florida,2014,1,1,0,1,0,0.035802357,0.0020797148,8.9048065e-4,0.0031404635,0.29058906,0.037826527,0.62880993,1,1,0.13201837,0.040190328,0,3.5993516,NA,0.82284784,0.43262726
FL,Florida,2016,1,1,0,1,0,0.060156364,0.0025442939,0.0014001938,0.0022855997,0.21709415,0.031663492,0.27674547,0.99996954,1,0.13161255,0.060301427,0,5.5254335,0.0081146201,0.87011325,0.65744931
GA,Georgia,2008,1,1,NA,NA,NA,0.0014454132,0.0043674703,0.0022620803,8.8204537e-4,0.016428875,0.022578212,0.31324145,0.99987966,NA,0.14203437,0.058490496,0,37.570423,0.0053731385,0.84935278,0.62731379
GA,Georgia,2010,1,1,1,1,0,0.0019959128,0.0031867665,0,1.6965081e-4,0.025725136,0.04473161,0.79904282,0.99349302,0,0.14147703,0.05140049,0,NA,NA,0.78852683,0.40592468
GA,Georgia,2012,1,1,1,1,0,NA,0.0053177718,0.0027609877,1.813041e-4,0.016809292,0.024002982,0.34535429,0.94134033,0,0.16754481,0.062873505,0,17.776478,0.0049255998,0.86320949,0.58650154
GA,Georgia,2014,1,1,1,1,1,0.0037511552,0.0046812412,0.0019952389,0.0016662307,0.1295609,0.044806518,0.43714178,0.9985401,0,0.12918662,0.047108091,1,7.3745174,NA,0.77803469,0.38530818
GA,Georgia,2016,1,1,1,1,1,0.0029336396,0.0040362552,0.0022056052,0.0032979187,0.10084204,0.081424557,0.27369326,1,0,0.14848693,0.060400531,1,16.550327,0.0057516601,0.83303124,0.59887046
HI,Hawaii,2008,1,0,NA,NA,NA,NA,0.0011469072,8.8375446e-4,0.001835227,0.089365236,NA,NA,0.90122408,1,0.12623376,0.064664885,0,5.735971,0.0054806615,0.69611973,0.49035606
HI,Hawaii,2010,1,0,1,0,0,NA,5.1255233e-4,3.9088589e-4,0.0030637272,0.077225536,0.061994608,0.34103021,0.92620814,1,0.11514931,0.10211167,0,NA,NA,0.65774649,0.4009361
HI,Hawaii,2012,1,0,1,0,0,NA,0.0016278442,0.0013943138,0.0025322021,0.098107144,NA,0.32621035,0.92624938,1,0.12792197,0.081689902,0,7.0276074,0.0056380001,0.70917314,0.444745
HI,Hawaii,2014,1,1,1,0,0,NA,4.653935e-4,4.041575e-4,0.0016554128,0.14237691,0.125,0.47513813,0.94940847,1,0.08974275,0.096955746,0,2.496192,NA,0.64003599,0.36494294
HI,Hawaii,2016,1,1,1,0,0,NA,0.0019305593,0.0016244114,0.0028421488,0.15243857,0.025930101,0.22642608,0.97108406,1,0.099969447,0.070577338,1,3.780215,0.01993995,0.7187587,0.43036032
IA,Iowa,2008,1,1,NA,NA,NA,0.0081065455,0.0027850289,2.4959861e-4,0.0027940818,0.051392086,0.081302524,0.24995746,0.94444442,0,0.12207783,0.037882935,0,5.006278,0.0062290933,0.85315764,0.69656885
IA,Iowa,2010,1,1,0,1,0,0.0022326242,0.0017566164,3.0791518e-4,0.0037761519,0.059795722,0.0373444,0.5475862,0.99938858,0,0.093185626,0.0328383,0,NA,NA,0.82405758,0.5079022
IA,Iowa,2012,1,1,0,1,0,0.0057211816,0.0031422351,5.4404192e-4,0.0051372652,0.070098765,0.059293274,0.21591417,1,0,0.12272054,0.018853858,0,7.4952931,0.0048876,0.86481595,0.70246911
IA,Iowa,2014,1,1,0,1,0,0.0028298197,0.0029895536,4.1407289e-4,0.0064308234,0.1027749,0.05719557,0.32663316,1,0,0.072726414,0.029449739,0,1.9077146,NA,0.84769076,0.50232697
IA,Iowa,2016,1,1,0,1,0,0.0060063605,0.001614422,4.3696261e-4,0.0026799531,0.031074671,0.038165916,0.20406879,0.94418871,0,0.09004534,0.015864743,1,3.8444796,0.0097004399,0.85844737,0.69049013
ID,Idaho,2008,1,0,NA,NA,NA,NA,NA,NA,0.0013438081,0.033496846,0.12771475,0.22723566,0.9375,0,0.15048735,0.022024538,0,6.491838,0.018687472,0.77101141,0.64843172
ID,Idaho,2010,1,1,0,1,NA,NA,NA,NA,0.0030563001,0.06609384,0.20945945,0.52889323,0.9375,0,0.12836178,0.016803563,0,NA,NA,0.71210724,0.42772385
ID,Idaho,2012,1,1,0,1,NA,NA,NA,NA,0.0014318089,0.032526884,0.1358954,0.18498169,0.93668038,0,0.13142571,0.032087829,0,7.0921254,0.0210359,0.77053583,0.60876757
ID,Idaho,2014,1,1,0,1,NA,NA,NA,NA,0.0016191077,0.10880586,0.1,0.28672567,0.9375,0,0.12778582,0.013506046,0,1.9593509,NA,0.70152199,0.39604637
ID,Idaho,2016,1,1,0,1,NA,NA,NA,NA,0.0012329433,0.029666021,0.13741007,0.15148515,0.93333334,0,0.1310991,0.024229661,0,8.0134859,0.02823665,0.78034693,0.60876042
IL,Illinois,2008,0,0,NA,NA,NA,0.045681644,NA,NA,NA,0.074257091,0.029753905,0.30627272,0.63928419,1,0.1864434,0.063705064,0,9.2872171,0.0098856352,0.85200596,0.64256495
IL,Illinois,2010,1,1,0,0,1,0.40365773,NA,0.0037247699,7.6075364e-4,0.17279367,0.046720959,0.78158963,0.93799561,1,0.13021304,0.040769868,0,NA,NA,0.81800878,0.43194485
IL,Illinois,2012,1,1,0,0,1,0.03696442,0.0038300187,0.0056720795,7.9370907e-4,0.079313412,NA,NA,0.82246494,1,0.1558387,0.061051067,0,11.712019,0.0071713999,0.84823209,0.59303057
IL,Illinois,2014,1,1,0,0,1,NA,0.008871288,0.0023770852,0.0013720545,0.14618348,NA,NA,0.81993347,1,0.12510701,0.036442086,1,4.4905429,NA,0.80240214,0.40949884
IL,Illinois,2016,1,1,0,0,1,0.034092117,0.0047392948,0.0022060375,0.0010790143,0.12046736,0.024625121,0.21560822,0.99967438,1,0.12755969,0.041626759,1,6.3479285,0.01258234,0.88410807,0.63357818
